Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,Last_Service_Days,Warranty_Days_Left
2,49616,1,4,2,1,1,1000,77128,1,17547,8,1,19.336317068716767,0,2,2,1,982,-51
3,65381,2,1,8,2,1,2500,141901,1,26750,3,2,11.276520705576068,1,0,0,0,768,-427
3,67982,1,5,7,0,0,2500,149954,2,12774,4,2,19.82641607671126,1,0,2,1,877,-55
2,33189,0,1,3,2,1,1000,148440,0,16791,4,1,15.154138817394893,0,2,2,1,750,-250
3,33202,2,4,8,2,1,800,12518,0,24729,2,3,11.91281596163386,0,2,1,1,944,-638
2,32700,1,5,4,2,1,2500,87800,2,14156,9,0,16.880977682821314,1,0,1,1,801,-42
4,37777,2,4,5,1,0,800,127740,1,8425,8,3,17.21332782259839,2,1,0,1,893,-616
3,66067,1,1,9,0,1,800,51222,0,24978,10,1,14.046529451554871,0,1,1,0,966,-399
4,55518,2,4,8,0,0,2000,19685,0,16488,2,3,16.367697300739486,1,2,2,1,759,-435
4,48586,0,2,10,0,1,800,37758,2,22244,10,2,16.369857825036675,0,0,1,1,881,-121
4,43649,2,1,9,2,0,1000,17963,0,16252,4,3,17.981249349669266,1,1,0,0,944,-116
4,37573,2,1,9,2,1,1500,134071,0,8033,3,3,13.509062454786676,2,1,0,0,717,12
3,66627,0,1,4,2,1,1000,130759,0,28093,9,1,12.106556064051864,1,2,0,1,834,-355
4,74757,1,3,3,0,1,2000,133394,2,10850,9,2,13.33983059536282,1,2,1,1,712,-602
2,64175,1,5,9,1,1,2500,10469,1,24608,2,2,13.18937865102377,1,1,0,1,836,-461
2,77181,2,4,9,2,1,1000,111257,0,24739,6,3,10.890056814062133,1,2,2,1,819,-282
4,48812,1,3,1,1,1,1500,72926,1,8804,8,2,17.310561417100615,0,1,2,1,892,-557
2,58511,1,2,3,1,0,1000,131090,2,22436,7,0,10.353898677964546,2,0,2,1,947,-310
2,73244,1,5,5,0,0,2500,131324,1,17615,6,1,18.158822746507163,0,1,2,1,854,-575
1,72696,0,2,2,0,1,800,107864,0,27347,6,0,19.536588717956327,1,0,0,0,940,-176
4,57809,1,2,2,0,0,1500,138481,1,22534,4,3,10.061084642926156,1,2,0,1,759,-135
2,47601,1,0,3,2,1,800,79744,2,10185,9,0,13.941041474381226,1,2,1,1,814,-267
2,31881,1,4,2,1,1,2500,60539,2,6583,4,0,12.018138998031931,0,0,0,1,825,-263
2,34015,1,1,2,1,1,1000,113083,0,10680,10,1,19.246289889121925,0,0,2,1,974,-595
2,37195,0,2,9,0,1,800,88378,2,27995,1,0,11.450871950993031,1,0,2,1,1020,-514
5,53431,1,3,10,1,1,2500,64185,2,29115,8,3,17.001229591537264,0,0,1,1,958,7
0,63839,0,1,10,2,1,1000,127210,2,20680,7,0,15.679263236385978,1,0,1,0,803,-547
0,60009,0,4,10,1,1,2500,133665,0,16326,10,3,16.344215392701663,0,1,1,1,989,-484
2,79634,2,5,9,0,0,1000,128308,2,7036,10,3,12.514466045701472,0,0,1,1,781,-451
2,67066,2,4,3,2,0,1500,119681,0,28981,2,0,15.800844952376991,0,1,1,1,873,-279
5,57341,0,1,1,0,1,2500,95703,1,17690,10,3,13.412834250216203,1,0,0,1,705,-620
4,58631,2,5,8,0,1,2500,122883,2,26161,8,0,11.8992712531565,0,0,2,1,889,-540
5,35933,2,5,7,2,0,1000,75190,2,13868,1,0,17.9461340854521,2,2,2,1,855,-148
5,49770,2,5,4,2,1,2000,141638,1,22151,8,2,15.87249627542825,1,1,1,1,840,-18
2,55950,2,3,3,1,1,1000,135675,1,10760,10,3,11.37386001205253,2,2,2,1,706,-464
1,70999,2,3,1,2,0,1500,129292,0,15761,3,3,16.365948363560694,0,1,2,1,973,-221
1,75317,2,4,1,1,1,2000,15487,1,15378,1,2,12.77614740159868,0,1,0,1,876,-258
4,78018,2,5,6,0,0,1000,30682,2,27690,9,2,13.772926184443731,1,2,2,1,1027,-302
3,36869,2,5,5,2,0,2000,62035,0,16065,8,0,17.353234060008838,1,0,1,1,754,-573
2,51458,2,4,6,0,0,1000,97034,0,25903,8,1,18.952596815270844,2,2,2,1,927,15
4,61408,2,4,5,0,1,2500,127492,1,24665,7,0,13.99514700915299,2,0,1,1,700,-356
4,70448,0,5,4,0,1,1000,80546,2,29149,5,1,11.109995271764324,2,0,2,1,781,-447
5,59752,2,2,4,2,0,2000,75029,1,8334,2,0,15.75358033780386,0,1,0,1,786,-403
1,48087,1,5,3,2,0,800,101551,0,12698,3,2,18.152572237303144,0,0,0,1,840,-555
5,68912,2,4,7,0,0,2500,62663,0,17401,8,3,15.986117909313318,2,0,1,1,990,-456
5,42461,2,4,6,1,1,800,129207,1,28891,4,1,16.872000430230923,0,2,1,1,831,-125
4,30742,2,3,3,1,0,2500,84805,2,12670,1,2,14.465219495372828,0,1,1,1,842,-72
2,43603,0,0,4,0,0,2500,135711,1,15571,7,2,15.960063981494756,0,1,0,0,761,-571
5,56422,1,3,9,0,1,1500,13808,1,5691,6,0,11.574228905648845,1,1,1,0,930,-192
0,54305,1,3,8,1,0,800,76189,1,18130,2,1,19.41521489199848,2,2,2,1,707,-282
5,44627,2,2,4,2,1,2500,59745,1,26898,5,0,19.267243637507903,2,2,0,1,832,-477
3,76781,2,5,8,2,1,800,70919,2,19564,10,1,11.692250717044162,2,2,0,1,1022,-47
1,36238,2,4,3,1,1,1000,61001,2,26906,9,3,17.07211948086325,2,0,1,1,716,-294
2,46806,2,2,9,0,0,1500,55707,1,21629,6,3,16.007169860706895,0,1,2,1,905,-441
5,37808,0,0,3,2,0,1000,115557,0,13651,4,2,19.57604580572438,0,0,2,1,765,-459
5,70553,0,2,10,0,1,1500,127037,2,6055,10,1,17.830175806265316,0,0,2,1,829,-532
4,73343,2,5,2,1,1,2000,59857,1,29036,6,2,15.758918889855355,1,1,1,1,917,-5
0,46215,0,1,6,0,0,2500,17543,1,21787,8,2,15.69924494434027,2,1,1,1,734,-463
2,67261,2,2,8,1,1,1000,42837,1,20925,1,2,12.955652351887506,0,1,0,1,790,-275
3,62166,1,3,2,2,0,800,138062,0,17462,1,1,16.364930684192693,2,1,2,1,953,-327
5,31488,1,3,10,1,1,800,74876,0,6123,1,3,16.29241727393191,0,2,1,1,764,-467
2,58894,1,2,7,1,0,800,31551,0,7899,5,1,10.767684969545638,1,2,1,1,751,-451
4,36051,1,2,9,0,0,800,29134,0,21598,7,0,14.75172259226462,2,2,0,1,710,-7
4,36248,1,5,6,0,1,1000,130093,0,8659,2,3,12.462210705367337,1,2,1,1,778,-230
2,71138,2,0,3,1,1,1500,76175,2,9774,6,0,13.067779287695538,1,1,2,1,817,-523
3,50978,1,0,1,1,0,800,3073,1,11122,5,0,11.7108971059839,1,0,1,0,733,-453
2,40622,1,5,10,1,0,1000,90079,2,25653,1,1,17.493788725381567,2,1,2,1,891,-603
1,77026,2,0,5,0,1,2000,25259,0,8661,10,3,16.095114492177608,0,2,1,1,999,-160
2,31968,1,0,1,0,1,1000,35299,1,28709,4,2,10.894890961640616,2,0,2,1,982,-303
5,74433,0,4,10,1,0,1500,145679,1,28275,1,2,19.21368016131555,1,1,0,1,1033,-10
1,45688,2,5,9,1,1,800,9054,0,10501,9,1,18.04092205281441,0,2,1,1,832,-416
1,78209,0,0,4,0,1,2500,45994,0,10483,3,2,14.296702673378745,1,1,1,0,796,-310
5,51487,1,5,8,0,1,2000,29547,2,25768,1,3,15.39548558884536,1,1,1,1,884,-510
1,52126,1,0,7,1,1,2000,122153,2,23158,1,3,11.05103021998263,0,2,2,1,958,-513
1,49535,1,0,5,1,0,1000,31315,2,18888,5,2,18.500744788979954,1,0,1,0,976,-326
5,61045,1,0,7,1,1,800,23865,0,20161,2,2,18.29758350300189,1,1,2,1,868,-178
2,60440,0,4,7,2,0,2000,38684,2,13915,6,1,13.575805823193924,0,0,2,1,851,-341
2,73210,0,0,9,1,0,800,121122,2,7325,9,3,15.624582567961378,2,2,0,1,918,-587
0,66445,2,3,5,0,1,800,56231,1,26259,9,1,15.606944696847382,2,2,1,1,968,-604
5,59388,1,5,4,0,1,2000,50472,0,19286,10,1,18.970313099195906,0,2,0,1,742,-57
2,61888,1,5,5,0,1,2500,86279,2,17761,5,2,19.51040895815779,1,0,1,1,706,-491
1,45925,2,1,9,1,0,800,12824,2,6647,8,3,14.203909812584808,2,1,1,1,787,-192
0,44497,2,5,9,1,0,1000,71520,2,11149,4,2,14.780703812340864,1,0,1,1,992,-549
0,63165,0,0,10,1,0,800,91664,2,20884,8,2,16.76875122270514,1,1,2,1,991,-627
4,45708,0,3,4,1,1,2500,34131,1,5804,1,0,11.940270194658346,0,1,1,1,980,-484
2,77500,1,0,5,2,0,2000,88644,1,12252,1,1,19.07624330744536,1,1,1,0,1029,-71
5,62600,0,4,5,2,1,1500,146131,2,12901,6,0,16.893005951253762,1,0,2,1,1004,31
2,44832,0,3,9,1,0,1000,55962,0,28590,9,2,15.07604497722743,0,2,1,1,1017,-253
5,57006,2,4,8,2,1,2000,10882,1,24455,7,3,10.480249610488016,1,2,0,1,890,-348
5,56550,1,2,6,0,1,800,133705,0,25644,1,3,13.00780605816708,1,2,2,1,725,-194
3,70380,1,4,1,1,0,1500,134871,0,22213,4,1,18.281360765292085,0,1,2,1,795,-457
1,50109,0,2,10,2,1,800,36035,0,29527,4,3,14.00890952258789,1,0,0,0,815,-146
1,61753,2,4,9,0,0,1500,68697,0,21323,7,3,14.400815596485993,0,1,2,1,738,-324
5,61024,1,0,1,1,0,2000,56062,2,29048,3,0,10.83736296999612,2,1,0,0,941,53
3,42048,0,4,6,2,1,800,60898,2,5543,9,1,14.677717710923472,0,1,1,1,1019,-631
4,77013,2,4,1,2,1,1500,18438,2,13677,6,0,18.226589836692632,0,1,1,1,706,-586
2,34841,0,2,1,1,1,1000,146581,0,8800,7,0,15.13607714314015,0,1,1,0,982,-266
3,65788,0,3,9,0,1,2000,28715,0,5927,8,1,19.14749223754703,0,1,2,1,830,-396
0,61817,2,4,2,0,0,1500,2514,0,23456,1,0,11.853098160205011,2,2,0,1,1026,-631
1,40859,2,0,9,2,1,800,74852,0,11364,5,1,15.288471729325025,0,0,0,0,934,-356
4,32437,1,5,8,2,1,800,149899,2,22516,9,0,18.50856268630676,2,1,1,1,994,-217
0,43461,1,1,3,2,1,1000,100130,0,24209,5,3,11.135315499387158,2,0,0,0,941,-221
1,54933,2,5,3,1,0,800,126785,1,26832,3,1,15.43661304859226,1,0,1,1,716,-377
5,68652,0,5,8,2,0,2500,95998,2,23120,10,1,16.333867852783168,0,2,0,1,845,56
4,38974,0,0,4,0,0,1500,30505,2,23470,2,1,11.582736725366637,1,1,2,1,970,-423
5,66083,2,2,6,0,0,1500,42473,2,9405,3,1,12.048292494153976,2,2,2,1,878,-110
4,56494,2,4,2,0,0,1000,17969,2,19186,10,3,11.79798788773409,1,1,2,1,813,-623
5,63226,2,1,3,2,0,1000,95599,0,15496,3,3,10.336039469435224,1,2,2,1,744,-83
1,79405,2,1,10,2,1,2500,49788,1,19143,8,1,10.153529873729598,2,1,0,0,975,-3
3,40971,1,0,9,1,0,1000,95175,1,22486,4,3,14.25369010310298,0,0,1,0,808,-512
5,79067,1,4,3,1,0,800,14634,0,17944,3,3,12.783378549894245,2,2,1,1,874,-412
3,40331,1,0,1,2,1,1000,34537,0,11912,6,1,19.50256840761938,1,0,0,0,964,7
3,39585,1,2,9,0,1,1500,116506,0,29445,5,0,14.909019546421192,0,0,1,0,945,-577
1,40411,1,5,9,2,1,1500,7201,2,14922,2,1,19.56727018462715,0,1,2,1,890,-533
3,73400,2,1,4,1,1,800,143722,0,22268,6,0,17.267204649691283,1,2,2,1,861,-258
5,35346,2,3,1,0,1,800,15327,2,9379,9,2,12.942988760010136,0,0,1,1,906,-555
1,45695,2,5,9,0,0,1000,53660,0,23380,8,1,18.77187052408024,2,2,2,1,933,-455
0,71090,2,0,5,2,0,800,112579,1,27922,9,2,16.92109399764894,0,0,0,1,867,-18
3,65221,2,5,1,0,0,1000,123366,1,7419,10,1,13.899772184862185,0,2,2,1,841,-427
5,63277,0,0,5,2,1,1000,113834,1,12392,8,0,11.61964473119365,2,1,2,1,835,-490
1,57753,0,5,2,1,0,800,69622,1,25525,8,3,13.35529026834183,2,0,2,1,1031,-259
2,48894,2,5,5,2,1,2000,114101,2,8276,7,1,13.378412348747544,1,2,1,1,891,-516
0,76193,2,3,9,2,0,800,98733,0,10490,4,2,12.964698020383144,2,1,2,1,890,-14
4,30845,2,2,1,2,0,2500,58024,0,7713,7,3,15.996824663843126,1,0,2,1,1023,-146
2,40760,1,2,8,2,0,2000,98842,1,22769,9,3,12.098816706400369,0,2,2,1,739,-37
3,55600,0,2,5,0,0,1500,42721,1,11879,7,0,17.591731264548976,2,0,0,0,746,-537
3,46380,0,0,3,1,0,2000,145079,2,25066,2,1,14.336614549694469,1,0,2,1,783,-333
0,51248,1,1,6,2,1,2500,118666,1,28672,2,0,14.85946698160075,0,0,0,0,713,-15
3,45427,0,1,9,2,0,1000,8602,1,7245,9,2,15.662788134625323,2,1,2,1,716,-5
4,68744,0,5,7,2,1,2500,120218,0,11252,10,3,17.445449763535937,2,0,1,1,836,46
5,34001,0,3,6,1,1,2000,139702,1,6262,8,2,12.261193827507942,2,1,2,1,870,-200
1,43023,2,3,6,0,0,2000,46685,0,9185,2,3,10.657793999163296,1,2,2,1,799,-289
0,46572,2,1,10,2,1,2000,99401,2,11942,9,2,15.341126543794392,2,2,1,1,820,-417
2,63544,0,4,1,2,1,800,123039,0,15549,10,3,15.09247956811372,1,2,2,1,735,-386
4,49183,2,1,5,1,1,2500,35120,1,18476,8,3,13.068112448408703,1,0,2,1,948,29
2,68317,2,5,5,0,1,2500,40997,2,27910,2,2,16.297703988905937,1,1,2,1,720,-85
5,36296,0,4,6,1,0,2500,114921,0,9500,7,0,19.266159959930093,2,1,2,1,839,-621
3,34929,1,0,6,2,1,2000,111595,2,13808,6,1,18.334594520907626,0,1,2,1,884,-389
4,32865,0,0,8,2,0,2000,85667,0,21508,3,2,15.028396745690603,1,2,2,1,722,53
4,51881,0,1,10,0,1,2500,53621,2,22537,6,2,10.352840064571804,0,2,2,1,850,-201
0,47586,2,1,9,0,0,2000,56365,0,12479,5,2,12.780299944629732,0,0,2,1,746,21
5,39971,0,4,2,1,1,800,48752,2,23934,1,2,17.208919730205757,2,0,2,1,967,-54
3,54099,1,1,8,1,0,800,5738,2,11994,7,0,13.52863606367903,1,1,1,0,825,-7
2,37869,0,3,8,0,1,1000,148958,2,19850,2,0,12.749733955073156,2,2,2,1,821,-65
1,62328,2,1,10,1,1,1500,94775,2,12794,4,1,19.49306721488681,0,2,0,1,870,-625
3,59174,0,3,10,0,1,1000,25358,0,10093,10,2,19.54663499053462,1,1,1,1,916,-273
5,37109,2,2,2,2,0,1500,8367,2,29963,1,2,11.880976420752042,2,1,2,1,868,-629
4,64605,1,0,7,1,1,2500,117210,0,28903,9,3,15.365558228718497,0,0,1,1,766,-443
3,32618,0,0,8,1,0,1000,134211,0,6861,7,1,13.116605075575242,0,0,1,0,997,-552
1,39780,2,4,10,2,1,2500,42050,1,17754,5,0,15.978133977317867,2,2,2,1,742,-175
2,62234,0,2,2,2,1,1000,126239,0,20117,6,3,12.117901461912409,0,1,1,0,832,49
3,39303,1,3,1,1,1,1500,78181,1,23905,1,3,13.98283661323005,2,0,1,0,895,-283
0,67670,1,4,6,1,1,800,39924,0,18733,9,3,15.66001145090462,2,1,0,1,797,-192
4,32357,1,1,5,1,0,2500,14696,1,19164,5,0,13.448187875485736,1,2,2,1,969,-408
1,38494,2,2,8,1,0,2500,52922,1,10744,3,1,14.100366906444648,0,1,2,1,768,2
2,46752,2,1,4,0,1,1500,35982,1,20305,5,2,18.19760035884841,0,1,2,1,810,-237
0,47174,1,2,8,1,1,2000,120685,1,19102,7,0,12.588810884708437,0,1,1,0,968,-230
4,51239,2,2,5,2,0,1000,77785,1,11508,8,2,15.257505536258542,0,1,0,1,930,-479
1,67696,0,3,4,0,0,800,23478,1,29728,8,0,12.034397956094772,1,0,1,1,856,-332
0,72991,0,2,4,1,0,2000,128427,1,29432,7,3,17.088570720599655,0,0,1,0,968,-205
4,61753,0,0,9,2,1,1000,126401,1,23864,4,0,18.75021248586024,1,0,2,1,803,48
2,35037,2,1,1,0,1,2000,40455,2,25602,10,3,10.9138014147998,0,1,0,1,838,-238
0,78114,2,4,2,0,1,1000,122659,1,22704,10,0,14.21772739346492,0,0,1,1,766,-196
0,39297,1,5,5,1,0,800,82783,1,22782,10,3,12.96154592334333,0,2,1,1,780,-122
3,60225,2,2,10,1,1,2000,20177,2,15880,4,2,15.119115448803548,0,2,1,1,747,-415
0,76740,1,5,1,1,1,1500,33537,2,5898,6,1,19.45552464100787,0,1,0,1,896,-427
0,71952,1,3,10,0,1,800,67069,0,19758,3,3,18.264772855524008,1,2,1,1,700,-221
3,53585,0,0,3,2,1,2500,4716,2,19416,2,1,11.864202287629706,2,0,0,0,705,-304
4,65337,1,2,1,2,0,1000,61391,1,21215,10,2,15.846151939453849,2,2,0,1,1026,-243
4,55552,1,0,8,2,1,800,94966,0,9459,10,3,11.63570675007026,0,2,1,1,760,-146
0,46910,1,5,1,0,0,1000,128852,0,12801,8,1,12.784749846649984,1,2,2,1,954,-591
3,60806,2,3,9,2,1,1500,9898,0,15959,8,2,17.333426421663226,0,1,0,1,774,-470
1,50950,1,0,3,2,1,2500,39116,0,11564,4,1,19.262909919716307,2,0,0,0,847,-344
3,63912,2,5,5,2,1,1500,136246,2,22471,4,1,17.496695480232752,1,2,1,1,986,-546
4,56780,0,5,8,0,0,1500,12970,0,24409,1,0,19.55579179634824,2,2,1,1,1001,-135
1,79610,1,4,2,2,1,800,132715,1,22475,4,2,17.704087616093787,1,0,2,1,1008,-391
3,67394,2,4,7,2,1,1000,83080,2,23660,9,1,13.195157208149034,1,0,2,1,840,-416
5,63165,2,0,4,2,1,800,61722,2,22846,9,0,11.273093138940691,1,2,1,1,1008,-104
1,30514,1,5,8,0,0,1000,8243,1,17263,6,1,14.338320376219064,2,2,1,1,919,-517
3,50105,2,0,2,0,0,2500,17610,2,5867,4,0,12.367436618131688,1,2,1,1,792,-343
2,69055,2,1,9,0,0,800,56578,2,12337,5,3,15.19369215176277,0,0,2,1,728,-310
0,57968,1,0,8,2,0,2000,109582,2,13963,7,1,16.468945447456655,1,0,1,0,702,-606
0,35221,1,2,3,0,1,1500,10601,2,13903,6,3,17.822068320973422,0,0,2,1,725,-134
5,42068,0,1,6,2,1,2000,1617,1,16698,6,2,17.119245433839694,0,2,2,1,763,-411
0,71339,1,3,4,1,1,800,67205,2,18413,8,1,10.516286127715452,2,0,1,0,923,-297
3,69012,2,2,1,1,1,1500,35780,0,22696,10,0,10.098634006728307,0,0,1,1,937,-19
2,76172,2,0,6,0,1,800,18764,2,26416,9,3,10.944671623720629,1,2,1,1,1030,18
3,73096,0,2,2,0,1,1500,23591,2,19611,9,2,10.83300951721779,1,0,2,1,941,-77
1,55941,2,5,4,2,0,1500,52655,0,18204,9,1,14.53633256889737,1,0,2,1,972,51
0,52054,0,3,1,2,0,1500,1410,0,20770,4,0,16.628089276482584,1,1,0,1,1030,-42
4,79270,2,4,10,1,0,800,66780,0,11120,5,3,18.37114081218681,0,2,1,1,942,-1
5,58580,2,4,10,0,1,2000,59337,2,10148,9,2,10.8434823021443,0,2,2,1,736,-233
0,74319,1,4,3,0,0,2000,47725,2,9823,9,2,17.281405099715144,0,1,0,1,857,-188
1,53911,0,2,2,1,1,1000,93995,0,11862,1,1,18.657364014935744,0,1,0,0,845,-157
4,68339,1,2,6,2,0,1000,148313,0,12735,4,0,11.94093599697285,1,2,0,1,832,31
0,60906,1,5,10,1,0,2000,64298,0,21329,2,1,10.25066178778306,0,1,2,1,808,-622
0,40241,0,0,8,0,0,1000,89395,2,19933,2,1,19.2715974430534,2,2,2,1,705,-398
1,43722,2,4,2,2,0,1500,133401,2,7874,8,3,13.511395818997094,0,0,2,1,885,-197
0,32088,2,3,3,0,0,2000,11317,1,23630,8,2,12.948426295931302,0,2,2,1,947,-549
2,39964,0,3,6,0,0,2000,105737,1,28633,9,3,19.87991399921696,2,1,2,1,889,-243
5,76388,2,0,2,1,0,1500,100179,1,8186,4,1,10.203807294744324,1,0,1,0,719,-260
3,60746,2,2,9,0,1,1500,47382,2,7609,6,1,16.48258966242942,0,2,1,1,839,-337
5,51565,1,4,8,1,1,800,12787,0,11359,5,3,14.325877992329644,2,1,0,1,847,-380
2,78780,1,0,6,2,1,800,33570,2,12890,5,2,18.14839934076628,1,0,1,0,732,-174
1,70818,1,0,4,0,1,2000,64052,2,9318,4,0,17.565868036381325,1,0,1,0,1000,-43
5,48075,1,1,2,0,1,2000,79553,2,16707,3,3,12.761991515396108,1,1,0,0,805,-74
2,71445,2,0,6,2,0,1500,22521,0,20599,3,3,10.437626172091704,1,0,2,1,784,-627
2,71711,2,0,9,1,0,800,121836,1,21307,2,2,15.11671257783464,1,0,1,0,774,-317
2,54689,1,4,9,0,1,2000,100219,0,19041,7,3,10.79391174375905,0,1,0,1,1010,-533
2,64993,0,2,1,1,0,1500,40759,2,22099,1,0,14.169540817662044,2,2,1,1,732,-315
2,37779,1,0,1,0,1,1500,72696,1,17855,10,3,16.202022631261517,0,2,1,1,713,-480
4,56385,1,1,5,2,0,800,97041,1,18557,1,3,16.76571544289729,2,1,0,0,991,-335
2,41515,0,1,9,1,1,1000,13912,2,16812,8,0,10.911506814944785,2,0,2,1,717,-408
4,47717,1,5,8,2,1,1000,54261,2,24608,9,2,14.6010313632609,0,1,2,1,896,-216
2,70219,2,1,1,1,1,800,129323,1,21839,10,2,17.171690601164173,2,2,2,1,930,-533
0,32343,2,4,6,1,1,1500,125139,2,15133,2,2,14.086833566103545,0,0,2,1,907,-266
3,33996,2,2,8,1,1,800,89565,1,15493,3,3,15.435287235497707,2,2,0,1,876,-16
0,50983,0,4,1,1,1,1500,85329,1,22263,10,1,12.359591361302394,0,2,0,1,991,-57
2,65082,1,0,3,1,1,800,97142,0,13653,8,1,19.76051383212662,2,1,0,0,734,-105
4,64983,1,2,4,1,0,2500,9017,1,11425,3,0,10.572693152599744,2,2,2,1,780,11
2,58881,0,5,8,2,1,2000,9095,2,9645,7,0,11.565201134228472,0,2,1,1,909,-102
1,50262,1,5,8,1,0,1500,86626,2,26466,9,3,16.557472370793715,0,1,0,1,851,-610
3,42619,0,4,9,0,1,2500,9031,0,7617,10,2,14.243744605176836,0,0,0,1,936,-602
1,36429,1,1,10,1,0,1500,30031,2,21054,7,3,14.287388658386856,2,1,0,0,990,-411
3,52827,1,0,2,2,1,2500,133428,2,15416,5,2,19.1247400380316,0,0,1,0,814,-24
3,56631,0,1,9,2,1,800,109720,1,12250,10,0,13.423870485777162,1,2,1,1,943,-172
1,53347,1,1,2,2,0,800,115570,1,17849,5,1,14.662627671222143,1,2,1,1,861,-459
4,37870,2,2,7,0,0,1500,104602,0,7469,8,0,16.039861363168406,1,0,0,1,981,-294
1,72112,1,5,5,2,0,1500,123359,0,12390,8,0,19.875971368625542,1,0,0,1,726,-305
1,58636,1,0,9,0,1,1500,77846,0,21446,7,0,16.412090305363208,1,2,1,1,763,-294
4,55499,2,1,3,2,1,800,137606,1,21898,5,2,15.723939275308604,1,1,2,1,969,-216
0,79290,0,2,3,1,1,800,53759,2,18757,8,1,11.57043976324402,1,1,1,0,764,-411
2,70385,0,1,3,1,0,800,73148,2,20374,9,2,12.764208171233916,2,1,2,1,748,-535
0,42153,2,3,5,0,1,1000,113304,1,15262,3,2,16.27997614142989,1,2,2,1,786,-473
5,35212,1,1,7,2,1,800,88534,1,6953,5,1,17.96798083304781,0,1,1,0,980,-594
0,56879,0,5,7,2,0,2000,103753,2,8845,6,0,15.87460990287038,2,2,0,1,834,-15
0,76919,2,0,7,2,0,1500,98860,1,26389,6,0,11.11241867408457,2,2,1,1,926,-614
0,64157,0,2,7,2,0,1000,79783,0,6394,3,0,15.237427204625632,0,2,0,1,720,50
4,79937,0,2,4,0,0,1000,122056,2,9368,10,2,19.90166184376117,0,0,0,1,786,-594
5,32054,2,0,7,1,0,800,57238,0,7471,8,3,15.18649837858073,0,2,0,1,939,-167
1,72138,2,3,6,1,0,2000,7462,1,26583,4,2,14.086825080710904,0,2,1,1,909,48
1,74569,2,3,1,0,0,2000,109908,1,17139,8,3,17.850356697425553,2,1,1,1,760,-522
