Vehicle_Model,Mileage,Maintenance_History,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Odometer_Reading,Owner_Type,Insurance_Premium,Service_History,Accident_History,Fuel_Efficiency,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance,Last_Service_Days,Warranty_Days_Left
Motorcycle,36652,Good,5,9,Electric,Automatic,2000,88775,Second,14164,9,0,19.18580254211249,Good,New,Weak,1,824,-345
Motorcycle,49616,Good,4,2,Electric,Manual,1000,77128,Second,17547,8,1,19.336317068716767,Good,Worn Out,Weak,1,982,-51
SUV,65381,Poor,1,8,Petrol,Manual,2500,141901,Second,26750,3,2,11.276520705576068,New,Good,Good,0,768,-427
SUV,67982,Good,5,7,Diesel,Automatic,2500,149954,Third,12774,4,2,19.82641607671126,New,Good,Weak,1,877,-55
Motorcycle,33189,Average,1,3,Petrol,Manual,1000,148440,First,16791,4,1,15.154138817394893,Good,Worn Out,Weak,1,750,-250
SUV,33202,Poor,4,8,Petrol,Manual,800,12518,First,24729,2,3,11.91281596163386,Good,Worn Out,New,1,944,-638
Motorcycle,32700,Good,5,4,Petrol,Manual,2500,87800,Third,14156,9,0,16.880977682821314,New,Good,New,1,801,-42
Truck,37777,Poor,4,5,Electric,Automatic,800,127740,Second,8425,8,3,17.21332782259839,Worn Out,New,Good,1,893,-616
SUV,66067,Good,1,9,Diesel,Manual,800,51222,First,24978,10,1,14.046529451554871,Good,New,New,0,966,-399
Truck,55518,Poor,4,8,Diesel,Automatic,2000,19685,First,16488,2,3,16.367697300739486,New,Worn Out,Weak,1,759,-435
Truck,48586,Average,2,10,Diesel,Manual,800,37758,Third,22244,10,2,16.369857825036675,Good,Good,New,1,881,-121
Truck,43649,Poor,1,9,Petrol,Automatic,1000,17963,First,16252,4,3,17.981249349669266,New,New,Good,0,944,-116
Truck,37573,Poor,1,9,Petrol,Manual,1500,134071,First,8033,3,3,13.509062454786676,Worn Out,New,Good,0,717,12
SUV,66627,Average,1,4,Petrol,Manual,1000,130759,First,28093,9,1,12.106556064051864,New,Worn Out,Good,1,834,-355
Truck,74757,Good,3,3,Diesel,Manual,2000,133394,Third,10850,9,2,13.33983059536282,New,Worn Out,New,1,712,-602
Motorcycle,64175,Good,5,9,Electric,Manual,2500,10469,Second,24608,2,2,13.18937865102377,New,New,Good,1,836,-461
Motorcycle,77181,Poor,4,9,Petrol,Manual,1000,111257,First,24739,6,3,10.890056814062133,New,Worn Out,Weak,1,819,-282
Truck,48812,Good,3,1,Electric,Manual,1500,72926,Second,8804,8,2,17.310561417100615,Good,New,Weak,1,892,-557
Motorcycle,58511,Good,2,3,Electric,Automatic,1000,131090,Third,22436,7,0,10.353898677964546,Worn Out,Good,Weak,1,947,-310
Motorcycle,73244,Good,5,5,Diesel,Automatic,2500,131324,Second,17615,6,1,18.158822746507163,Good,New,Weak,1,854,-575
Car,72696,Average,2,2,Diesel,Manual,800,107864,First,27347,6,0,19.536588717956327,New,Good,Good,0,940,-176
Truck,57809,Good,2,2,Diesel,Automatic,1500,138481,Second,22534,4,3,10.061084642926156,New,Worn Out,Good,1,759,-135
Motorcycle,47601,Good,0,3,Petrol,Manual,800,79744,Third,10185,9,0,13.941041474381226,New,Worn Out,New,1,814,-267
Motorcycle,31881,Good,4,2,Electric,Manual,2500,60539,Third,6583,4,0,12.018138998031931,Good,Good,Good,1,825,-263
Motorcycle,34015,Good,1,2,Electric,Manual,1000,113083,First,10680,10,1,19.246289889121925,Good,Good,Weak,1,974,-595
Motorcycle,37195,Average,2,9,Diesel,Manual,800,88378,Third,27995,1,0,11.450871950993031,New,Good,Weak,1,1020,-514
Van,53431,Good,3,10,Electric,Manual,2500,64185,Third,29115,8,3,17.001229591537264,Good,Good,New,1,958,7
Bus,63839,Average,1,10,Petrol,Manual,1000,127210,Third,20680,7,0,15.679263236385978,New,Good,New,0,803,-547
Bus,60009,Average,4,10,Electric,Manual,2500,133665,First,16326,10,3,16.344215392701663,Good,New,New,1,989,-484
Motorcycle,79634,Poor,5,9,Diesel,Automatic,1000,128308,Third,7036,10,3,12.514466045701472,Good,Good,New,1,781,-451
Motorcycle,67066,Poor,4,3,Petrol,Automatic,1500,119681,First,28981,2,0,15.800844952376991,Good,New,New,1,873,-279
Van,57341,Average,1,1,Diesel,Manual,2500,95703,Second,17690,10,3,13.412834250216203,New,Good,Good,1,705,-620
Truck,58631,Poor,5,8,Diesel,Manual,2500,122883,Third,26161,8,0,11.8992712531565,Good,Good,Weak,1,889,-540
Van,35933,Poor,5,7,Petrol,Automatic,1000,75190,Third,13868,1,0,17.9461340854521,Worn Out,Worn Out,Weak,1,855,-148
Van,49770,Poor,5,4,Petrol,Manual,2000,141638,Second,22151,8,2,15.87249627542825,New,New,New,1,840,-18
Motorcycle,55950,Poor,3,3,Electric,Manual,1000,135675,Second,10760,10,3,11.37386001205253,Worn Out,Worn Out,Weak,1,706,-464
Car,70999,Poor,3,1,Petrol,Automatic,1500,129292,First,15761,3,3,16.365948363560694,Good,New,Weak,1,973,-221
Car,75317,Poor,4,1,Electric,Manual,2000,15487,Second,15378,1,2,12.77614740159868,Good,New,Good,1,876,-258
Truck,78018,Poor,5,6,Diesel,Automatic,1000,30682,Third,27690,9,2,13.772926184443731,New,Worn Out,Weak,1,1027,-302
SUV,36869,Poor,5,5,Petrol,Automatic,2000,62035,First,16065,8,0,17.353234060008838,New,Good,New,1,754,-573
Motorcycle,51458,Poor,4,6,Diesel,Automatic,1000,97034,First,25903,8,1,18.952596815270844,Worn Out,Worn Out,Weak,1,927,15
Truck,61408,Poor,4,5,Diesel,Manual,2500,127492,Second,24665,7,0,13.99514700915299,Worn Out,Good,New,1,700,-356
Truck,70448,Average,5,4,Diesel,Manual,1000,80546,Third,29149,5,1,11.109995271764324,Worn Out,Good,Weak,1,781,-447
Van,59752,Poor,2,4,Petrol,Automatic,2000,75029,Second,8334,2,0,15.75358033780386,Good,New,Good,1,786,-403
Car,48087,Good,5,3,Petrol,Automatic,800,101551,First,12698,3,2,18.152572237303144,Good,Good,Good,1,840,-555
Van,68912,Poor,4,7,Diesel,Automatic,2500,62663,First,17401,8,3,15.986117909313318,Worn Out,Good,New,1,990,-456
Van,42461,Poor,4,6,Electric,Manual,800,129207,Second,28891,4,1,16.872000430230923,Good,Worn Out,New,1,831,-125
Truck,30742,Poor,3,3,Electric,Automatic,2500,84805,Third,12670,1,2,14.465219495372828,Good,New,New,1,842,-72
Motorcycle,43603,Average,0,4,Diesel,Automatic,2500,135711,Second,15571,7,2,15.960063981494756,Good,New,Good,0,761,-571
Van,56422,Good,3,9,Diesel,Manual,1500,13808,Second,5691,6,0,11.574228905648845,New,New,New,0,930,-192
Bus,54305,Good,3,8,Electric,Automatic,800,76189,Second,18130,2,1,19.41521489199848,Worn Out,Worn Out,Weak,1,707,-282
Van,44627,Poor,2,4,Petrol,Manual,2500,59745,Second,26898,5,0,19.267243637507903,Worn Out,Worn Out,Good,1,832,-477
SUV,76781,Poor,5,8,Petrol,Manual,800,70919,Third,19564,10,1,11.692250717044162,Worn Out,Worn Out,Good,1,1022,-47
Car,36238,Poor,4,3,Electric,Manual,1000,61001,Third,26906,9,3,17.07211948086325,Worn Out,Good,New,1,716,-294
Motorcycle,46806,Poor,2,9,Diesel,Automatic,1500,55707,Second,21629,6,3,16.007169860706895,Good,New,Weak,1,905,-441
Van,37808,Average,0,3,Petrol,Automatic,1000,115557,First,13651,4,2,19.57604580572438,Good,Good,Weak,1,765,-459
Van,70553,Average,2,10,Diesel,Manual,1500,127037,Third,6055,10,1,17.830175806265316,Good,Good,Weak,1,829,-532
Truck,73343,Poor,5,2,Electric,Manual,2000,59857,Second,29036,6,2,15.758918889855355,New,New,New,1,917,-5
Bus,46215,Average,1,6,Diesel,Automatic,2500,17543,Second,21787,8,2,15.69924494434027,Worn Out,New,New,1,734,-463
Motorcycle,67261,Poor,2,8,Electric,Manual,1000,42837,Second,20925,1,2,12.955652351887506,Good,New,Good,1,790,-275
SUV,62166,Good,3,2,Petrol,Automatic,800,138062,First,17462,1,1,16.364930684192693,Worn Out,New,Weak,1,953,-327
Van,31488,Good,3,10,Electric,Manual,800,74876,First,6123,1,3,16.29241727393191,Good,Worn Out,New,1,764,-467
Motorcycle,58894,Good,2,7,Electric,Automatic,800,31551,First,7899,5,1,10.767684969545638,New,Worn Out,New,1,751,-451
Truck,36051,Good,2,9,Diesel,Automatic,800,29134,First,21598,7,0,14.75172259226462,Worn Out,Worn Out,Good,1,710,-7
Truck,36248,Good,5,6,Diesel,Manual,1000,130093,First,8659,2,3,12.462210705367337,New,Worn Out,New,1,778,-230
Motorcycle,71138,Poor,0,3,Electric,Manual,1500,76175,Third,9774,6,0,13.067779287695538,New,New,Weak,1,817,-523
SUV,50978,Good,0,1,Electric,Automatic,800,3073,Second,11122,5,0,11.7108971059839,New,Good,New,0,733,-453
Motorcycle,40622,Good,5,10,Electric,Automatic,1000,90079,Third,25653,1,1,17.493788725381567,Worn Out,New,Weak,1,891,-603
Car,77026,Poor,0,5,Diesel,Manual,2000,25259,First,8661,10,3,16.095114492177608,Good,Worn Out,New,1,999,-160
Motorcycle,31968,Good,0,1,Diesel,Manual,1000,35299,Second,28709,4,2,10.894890961640616,Worn Out,Good,Weak,1,982,-303
Van,74433,Average,4,10,Electric,Automatic,1500,145679,Second,28275,1,2,19.21368016131555,New,New,Good,1,1033,-10
Car,45688,Poor,5,9,Electric,Manual,800,9054,First,10501,9,1,18.04092205281441,Good,Worn Out,New,1,832,-416
Car,78209,Average,0,4,Diesel,Manual,2500,45994,First,10483,3,2,14.296702673378745,New,New,New,0,796,-310
Van,51487,Good,5,8,Diesel,Manual,2000,29547,Third,25768,1,3,15.39548558884536,New,New,New,1,884,-510
Car,52126,Good,0,7,Electric,Manual,2000,122153,Third,23158,1,3,11.05103021998263,Good,Worn Out,Weak,1,958,-513
Car,49535,Good,0,5,Electric,Automatic,1000,31315,Third,18888,5,2,18.500744788979954,New,Good,New,0,976,-326
Van,61045,Good,0,7,Electric,Manual,800,23865,First,20161,2,2,18.29758350300189,New,New,Weak,1,868,-178
Motorcycle,60440,Average,4,7,Petrol,Automatic,2000,38684,Third,13915,6,1,13.575805823193924,Good,Good,Weak,1,851,-341
Motorcycle,73210,Average,0,9,Electric,Automatic,800,121122,Third,7325,9,3,15.624582567961378,Worn Out,Worn Out,Good,1,918,-587
Bus,66445,Poor,3,5,Diesel,Manual,800,56231,Second,26259,9,1,15.606944696847382,Worn Out,Worn Out,New,1,968,-604
Van,59388,Good,5,4,Diesel,Manual,2000,50472,First,19286,10,1,18.970313099195906,Good,Worn Out,Good,1,742,-57
Motorcycle,61888,Good,5,5,Diesel,Manual,2500,86279,Third,17761,5,2,19.51040895815779,New,Good,New,1,706,-491
Car,45925,Poor,1,9,Electric,Automatic,800,12824,Third,6647,8,3,14.203909812584808,Worn Out,New,New,1,787,-192
Bus,44497,Poor,5,9,Electric,Automatic,1000,71520,Third,11149,4,2,14.780703812340864,New,Good,New,1,992,-549
Bus,63165,Average,0,10,Electric,Automatic,800,91664,Third,20884,8,2,16.76875122270514,New,New,Weak,1,991,-627
Truck,45708,Average,3,4,Electric,Manual,2500,34131,Second,5804,1,0,11.940270194658346,Good,New,New,1,980,-484
Motorcycle,77500,Good,0,5,Petrol,Automatic,2000,88644,Second,12252,1,1,19.07624330744536,New,New,New,0,1029,-71
Van,62600,Average,4,5,Petrol,Manual,1500,146131,Third,12901,6,0,16.893005951253762,New,Good,Weak,1,1004,31
Motorcycle,44832,Average,3,9,Electric,Automatic,1000,55962,First,28590,9,2,15.07604497722743,Good,Worn Out,New,1,1017,-253
Van,57006,Poor,4,8,Petrol,Manual,2000,10882,Second,24455,7,3,10.480249610488016,New,Worn Out,Good,1,890,-348
Van,56550,Good,2,6,Diesel,Manual,800,133705,First,25644,1,3,13.00780605816708,New,Worn Out,Weak,1,725,-194
SUV,70380,Good,4,1,Electric,Automatic,1500,134871,First,22213,4,1,18.281360765292085,Good,New,Weak,1,795,-457
Car,50109,Average,2,10,Petrol,Manual,800,36035,First,29527,4,3,14.00890952258789,New,Good,Good,0,815,-146
Car,61753,Poor,4,9,Diesel,Automatic,1500,68697,First,21323,7,3,14.400815596485993,Good,New,Weak,1,738,-324
Van,61024,Good,0,1,Electric,Automatic,2000,56062,Third,29048,3,0,10.83736296999612,Worn Out,New,Good,0,941,53
SUV,42048,Average,4,6,Petrol,Manual,800,60898,Third,5543,9,1,14.677717710923472,Good,New,New,1,1019,-631
Truck,77013,Poor,4,1,Petrol,Manual,1500,18438,Third,13677,6,0,18.226589836692632,Good,New,New,1,706,-586
Motorcycle,34841,Average,2,1,Electric,Manual,1000,146581,First,8800,7,0,15.13607714314015,Good,New,New,0,982,-266
SUV,65788,Average,3,9,Diesel,Manual,2000,28715,First,5927,8,1,19.14749223754703,Good,New,Weak,1,830,-396
Bus,61817,Poor,4,2,Diesel,Automatic,1500,2514,First,23456,1,0,11.853098160205011,Worn Out,Worn Out,Good,1,1026,-631
Car,40859,Poor,0,9,Petrol,Manual,800,74852,First,11364,5,1,15.288471729325025,Good,Good,Good,0,934,-356
Truck,32437,Good,5,8,Petrol,Manual,800,149899,Third,22516,9,0,18.50856268630676,Worn Out,New,New,1,994,-217
Bus,43461,Good,1,3,Petrol,Manual,1000,100130,First,24209,5,3,11.135315499387158,Worn Out,Good,Good,0,941,-221
Car,54933,Poor,5,3,Electric,Automatic,800,126785,Second,26832,3,1,15.43661304859226,New,Good,New,1,716,-377
Van,68652,Average,5,8,Petrol,Automatic,2500,95998,Third,23120,10,1,16.333867852783168,Good,Worn Out,Good,1,845,56
Truck,38974,Average,0,4,Diesel,Automatic,1500,30505,Third,23470,2,1,11.582736725366637,New,New,Weak,1,970,-423
Van,66083,Poor,2,6,Diesel,Automatic,1500,42473,Third,9405,3,1,12.048292494153976,Worn Out,Worn Out,Weak,1,878,-110
Truck,56494,Poor,4,2,Diesel,Automatic,1000,17969,Third,19186,10,3,11.79798788773409,New,New,Weak,1,813,-623
Van,63226,Poor,1,3,Petrol,Automatic,1000,95599,First,15496,3,3,10.336039469435224,New,Worn Out,Weak,1,744,-83
Car,79405,Poor,1,10,Petrol,Manual,2500,49788,Second,19143,8,1,10.153529873729598,Worn Out,New,Good,0,975,-3
SUV,40971,Good,0,9,Electric,Automatic,1000,95175,Second,22486,4,3,14.25369010310298,Good,Good,New,0,808,-512
Van,79067,Good,4,3,Electric,Automatic,800,14634,First,17944,3,3,12.783378549894245,Worn Out,Worn Out,New,1,874,-412
SUV,40331,Good,0,1,Petrol,Manual,1000,34537,First,11912,6,1,19.50256840761938,New,Good,Good,0,964,7
SUV,39585,Good,2,9,Diesel,Manual,1500,116506,First,29445,5,0,14.909019546421192,Good,Good,New,0,945,-577
Car,40411,Good,5,9,Petrol,Manual,1500,7201,Third,14922,2,1,19.56727018462715,Good,New,Weak,1,890,-533
SUV,73400,Poor,1,4,Electric,Manual,800,143722,First,22268,6,0,17.267204649691283,New,Worn Out,Weak,1,861,-258
Van,35346,Poor,3,1,Diesel,Manual,800,15327,Third,9379,9,2,12.942988760010136,Good,Good,New,1,906,-555
Car,45695,Poor,5,9,Diesel,Automatic,1000,53660,First,23380,8,1,18.77187052408024,Worn Out,Worn Out,Weak,1,933,-455
Bus,71090,Poor,0,5,Petrol,Automatic,800,112579,Second,27922,9,2,16.92109399764894,Good,Good,Good,1,867,-18
SUV,65221,Poor,5,1,Diesel,Automatic,1000,123366,Second,7419,10,1,13.899772184862185,Good,Worn Out,Weak,1,841,-427
Van,63277,Average,0,5,Petrol,Manual,1000,113834,Second,12392,8,0,11.61964473119365,Worn Out,New,Weak,1,835,-490
Car,57753,Average,5,2,Electric,Automatic,800,69622,Second,25525,8,3,13.35529026834183,Worn Out,Good,Weak,1,1031,-259
Motorcycle,48894,Poor,5,5,Petrol,Manual,2000,114101,Third,8276,7,1,13.378412348747544,New,Worn Out,New,1,891,-516
Bus,76193,Poor,3,9,Petrol,Automatic,800,98733,First,10490,4,2,12.964698020383144,Worn Out,New,Weak,1,890,-14
Truck,30845,Poor,2,1,Petrol,Automatic,2500,58024,First,7713,7,3,15.996824663843126,New,Good,Weak,1,1023,-146
Motorcycle,40760,Good,2,8,Petrol,Automatic,2000,98842,Second,22769,9,3,12.098816706400369,Good,Worn Out,Weak,1,739,-37
SUV,55600,Average,2,5,Diesel,Automatic,1500,42721,Second,11879,7,0,17.591731264548976,Worn Out,Good,Good,0,746,-537
SUV,46380,Average,0,3,Electric,Automatic,2000,145079,Third,25066,2,1,14.336614549694469,New,Good,Weak,1,783,-333
Bus,51248,Good,1,6,Petrol,Manual,2500,118666,Second,28672,2,0,14.85946698160075,Good,Good,Good,0,713,-15
SUV,45427,Average,1,9,Petrol,Automatic,1000,8602,Second,7245,9,2,15.662788134625323,Worn Out,New,Weak,1,716,-5
Truck,68744,Average,5,7,Petrol,Manual,2500,120218,First,11252,10,3,17.445449763535937,Worn Out,Good,New,1,836,46
Van,34001,Average,3,6,Electric,Manual,2000,139702,Second,6262,8,2,12.261193827507942,Worn Out,New,Weak,1,870,-200
Car,43023,Poor,3,6,Diesel,Automatic,2000,46685,First,9185,2,3,10.657793999163296,New,Worn Out,Weak,1,799,-289
Bus,46572,Poor,1,10,Petrol,Manual,2000,99401,Third,11942,9,2,15.341126543794392,Worn Out,Worn Out,New,1,820,-417
Motorcycle,63544,Average,4,1,Petrol,Manual,800,123039,First,15549,10,3,15.09247956811372,New,Worn Out,Weak,1,735,-386
Truck,49183,Poor,1,5,Electric,Manual,2500,35120,Second,18476,8,3,13.068112448408703,New,Good,Weak,1,948,29
Motorcycle,68317,Poor,5,5,Diesel,Manual,2500,40997,Third,27910,2,2,16.297703988905937,New,New,Weak,1,720,-85
Van,36296,Average,4,6,Electric,Automatic,2500,114921,First,9500,7,0,19.266159959930093,Worn Out,New,Weak,1,839,-621
SUV,34929,Good,0,6,Petrol,Manual,2000,111595,Third,13808,6,1,18.334594520907626,Good,New,Weak,1,884,-389
Truck,32865,Average,0,8,Petrol,Automatic,2000,85667,First,21508,3,2,15.028396745690603,New,Worn Out,Weak,1,722,53
Truck,51881,Average,1,10,Diesel,Manual,2500,53621,Third,22537,6,2,10.352840064571804,Good,Worn Out,Weak,1,850,-201
Bus,47586,Poor,1,9,Diesel,Automatic,2000,56365,First,12479,5,2,12.780299944629732,Good,Good,Weak,1,746,21
Van,39971,Average,4,2,Electric,Manual,800,48752,Third,23934,1,2,17.208919730205757,Worn Out,Good,Weak,1,967,-54
SUV,54099,Good,1,8,Electric,Automatic,800,5738,Third,11994,7,0,13.52863606367903,New,New,New,0,825,-7
Motorcycle,37869,Average,3,8,Diesel,Manual,1000,148958,Third,19850,2,0,12.749733955073156,Worn Out,Worn Out,Weak,1,821,-65
Car,62328,Poor,1,10,Electric,Manual,1500,94775,Third,12794,4,1,19.49306721488681,Good,Worn Out,Good,1,870,-625
SUV,59174,Average,3,10,Diesel,Manual,1000,25358,First,10093,10,2,19.54663499053462,New,New,New,1,916,-273
Van,37109,Poor,2,2,Petrol,Automatic,1500,8367,Third,29963,1,2,11.880976420752042,Worn Out,New,Weak,1,868,-629
Truck,64605,Good,0,7,Electric,Manual,2500,117210,First,28903,9,3,15.365558228718497,Good,Good,New,1,766,-443
SUV,32618,Average,0,8,Electric,Automatic,1000,134211,First,6861,7,1,13.116605075575242,Good,Good,New,0,997,-552
Car,39780,Poor,4,10,Petrol,Manual,2500,42050,Second,17754,5,0,15.978133977317867,Worn Out,Worn Out,Weak,1,742,-175
Motorcycle,62234,Average,2,2,Petrol,Manual,1000,126239,First,20117,6,3,12.117901461912409,Good,New,New,0,832,49
SUV,39303,Good,3,1,Electric,Manual,1500,78181,Second,23905,1,3,13.98283661323005,Worn Out,Good,New,0,895,-283
Bus,67670,Good,4,6,Electric,Manual,800,39924,First,18733,9,3,15.66001145090462,Worn Out,New,Good,1,797,-192
Truck,32357,Good,1,5,Electric,Automatic,2500,14696,Second,19164,5,0,13.448187875485736,New,Worn Out,Weak,1,969,-408
Car,38494,Poor,2,8,Electric,Automatic,2500,52922,Second,10744,3,1,14.100366906444648,Good,New,Weak,1,768,2
Motorcycle,46752,Poor,1,4,Diesel,Manual,1500,35982,Second,20305,5,2,18.19760035884841,Good,New,Weak,1,810,-237
Bus,47174,Good,2,8,Electric,Manual,2000,120685,Second,19102,7,0,12.588810884708437,Good,New,New,0,968,-230
Truck,51239,Poor,2,5,Petrol,Automatic,1000,77785,Second,11508,8,2,15.257505536258542,Good,New,Good,1,930,-479
Car,67696,Average,3,4,Diesel,Automatic,800,23478,Second,29728,8,0,12.034397956094772,New,Good,New,1,856,-332
Bus,72991,Average,2,4,Electric,Automatic,2000,128427,Second,29432,7,3,17.088570720599655,Good,Good,New,0,968,-205
Truck,61753,Average,0,9,Petrol,Manual,1000,126401,Second,23864,4,0,18.75021248586024,New,Good,Weak,1,803,48
Motorcycle,35037,Poor,1,1,Diesel,Manual,2000,40455,Third,25602,10,3,10.9138014147998,Good,New,Good,1,838,-238
Bus,78114,Poor,4,2,Diesel,Manual,1000,122659,Second,22704,10,0,14.21772739346492,Good,Good,New,1,766,-196
Bus,39297,Good,5,5,Electric,Automatic,800,82783,Second,22782,10,3,12.96154592334333,Good,Worn Out,New,1,780,-122
SUV,60225,Poor,2,10,Electric,Manual,2000,20177,Third,15880,4,2,15.119115448803548,Good,Worn Out,New,1,747,-415
Bus,76740,Good,5,1,Electric,Manual,1500,33537,Third,5898,6,1,19.45552464100787,Good,New,Good,1,896,-427
Bus,71952,Good,3,10,Diesel,Manual,800,67069,First,19758,3,3,18.264772855524008,New,Worn Out,New,1,700,-221
SUV,53585,Average,0,3,Petrol,Manual,2500,4716,Third,19416,2,1,11.864202287629706,Worn Out,Good,Good,0,705,-304
Truck,65337,Good,2,1,Petrol,Automatic,1000,61391,Second,21215,10,2,15.846151939453849,Worn Out,Worn Out,Good,1,1026,-243
Truck,55552,Good,0,8,Petrol,Manual,800,94966,First,9459,10,3,11.63570675007026,Good,Worn Out,New,1,760,-146
Bus,46910,Good,5,1,Diesel,Automatic,1000,128852,First,12801,8,1,12.784749846649984,New,Worn Out,Weak,1,954,-591
SUV,60806,Poor,3,9,Petrol,Manual,1500,9898,First,15959,8,2,17.333426421663226,Good,New,Good,1,774,-470
Car,50950,Good,0,3,Petrol,Manual,2500,39116,First,11564,4,1,19.262909919716307,Worn Out,Good,Good,0,847,-344
SUV,63912,Poor,5,5,Petrol,Manual,1500,136246,Third,22471,4,1,17.496695480232752,New,Worn Out,New,1,986,-546
Truck,56780,Average,5,8,Diesel,Automatic,1500,12970,First,24409,1,0,19.55579179634824,Worn Out,Worn Out,New,1,1001,-135
Car,79610,Good,4,2,Petrol,Manual,800,132715,Second,22475,4,2,17.704087616093787,New,Good,Weak,1,1008,-391
SUV,67394,Poor,4,7,Petrol,Manual,1000,83080,Third,23660,9,1,13.195157208149034,New,Good,Weak,1,840,-416
Van,63165,Poor,0,4,Petrol,Manual,800,61722,Third,22846,9,0,11.273093138940691,New,Worn Out,New,1,1008,-104
Car,30514,Good,5,8,Diesel,Automatic,1000,8243,Second,17263,6,1,14.338320376219064,Worn Out,Worn Out,New,1,919,-517
SUV,50105,Poor,0,2,Diesel,Automatic,2500,17610,Third,5867,4,0,12.367436618131688,New,Worn Out,New,1,792,-343
Motorcycle,69055,Poor,1,9,Diesel,Automatic,800,56578,Third,12337,5,3,15.19369215176277,Good,Good,Weak,1,728,-310
Bus,57968,Good,0,8,Petrol,Automatic,2000,109582,Third,13963,7,1,16.468945447456655,New,Good,New,0,702,-606
Bus,35221,Good,2,3,Diesel,Manual,1500,10601,Third,13903,6,3,17.822068320973422,Good,Good,Weak,1,725,-134
Van,42068,Average,1,6,Petrol,Manual,2000,1617,Second,16698,6,2,17.119245433839694,Good,Worn Out,Weak,1,763,-411
Bus,71339,Good,3,4,Electric,Manual,800,67205,Third,18413,8,1,10.516286127715452,Worn Out,Good,New,0,923,-297
